detached_sleeves,0,417928,"armsleeves,detached_sleeve,/dsleeves,naked_sleeves"
sleeveless,0,417732,no_sleeves
alternate_costume,0,416434,"/acos,alternate_outfit,alternate_outfit,alternative_costume"
green_hair,0,409351,"/greenh,greenhair"
shoes,0,408047,shoe
pants,0,404661,"long_pants,slacks,trousers"
penis,0,401255,"cock,cocks,dick,dicks"
choker,0,393944,
japanese_clothes,0,388179,"japanese_clothing,traditional_japanese_clothes,wafuku"
virtual_youtuber,0,379796,vtuber
pointy_ears,0,379108,"elf_ears,elven_ears,long_ears,pointed_ears,pointy_ear,pointy-ears"
socks,0,374689,"leghighs,naked_socks,sock"
tongue,0,370394,tongues
medium_hair,0,366030,shoulder-length_hair
barefoot,0,364385,"bare_feet,barefeet,bare_foot"
artist_name,0,361721,
glasses,0,359431,"megane,meganekko,meganeko"
pussy,0,356572,"manko,vagina,vulva"
solo_focus,0,351141,
indoors,0,350807,
puffy_sleeves,0,341794,"/psleeves,puffy_shoulders"
hand_up,0,340426,"hand_raised,one_hand_raised,raised_hand"
black_thighhighs,0,338254,
day,0,337382,
belt,0,336058,belts
hairclip,0,329461,"barrette,hair_clip,hair_clips,hairclips"
fate_(series),3,320342,
official_alternate_costume,0,318645,"alternate_costume_(official),official_alternate_outfit"
fang,0,315673,
serafuku,0,312768,"sailor_fuku,/se"
elbow_gloves,0,300050,"/eg,long_gloves,opera_gloves"
official_art,5,299951,
midriff,0,296269,
bowtie,0,295045,"bow_tie,neck_bow"
2boys,0,293856,2boy
white_gloves,0,293082,white_glove
hood,0,290260,
signature,0,290229,"artist_signature,autograph,signed"
black_skirt,0,289550,
cloud,0,287213,clouds
blunt_bangs,0,281823,
dark_skin,0,279520,"brown_skin,darkskin,dark_skin_female,dark_skinned_female"
black_footwear,0,278024,"black_boots,black_shoes"
looking_back,0,277125,"looking_over_shoulder,turning"
cat_ears,0,275116,"/cat,catears,nekomimi"
hair_flower,0,273230,"flower_hair_ornament,flower_in_hair,hairflower,hair_flowers,/hflower"
tongue_out,0,272387,
pink_eyes,0,270877,
sword,0,269700,swords
sailor_collar,0,268678,
stomach,0,262877,
sex,0,261413,"fuck,fucking"
pokemon,3,259230,"pocket_monsters,pokémon,pokemons"
white_dress,0,259117,
grey_background,0,257861,"gray_background,/graybg,/greybg"
twitter_username,0,257318,artist_twitter
looking_at_another,0,256287,
fingerless_gloves,0,255451,fingerless_glove
halo,0,255315,
miniskirt,0,255280,"mini_skirt,short_skirt"
holding_weapon,0,253372,
wide_sleeves,0,251723,/wsleeves
spread_legs,0,249512,"legs_spread,open_legs,spread_leg"
on_back,0,247409,"lying_on_back,supine"
mole,0,245745,beauty_mark
cum,0,243473,"cumshot,semen,sperm"
necklace,0,240646,
hair_over_one_eye,0,239335,"eye_covering_bang,hair_over_eye,/hooe"
3girls,0,239327,3girl
hair_bun,0,238971,
armpits,0,238543,"armpit,showing_armpits"
streaked_hair,0,237861,highlights
speech_bubble,0,235992,"speech_balloon,text_bubble,word_bubble"
chibi,0,235979,super_deformed
off_shoulder,0,235932,"off-shoulder,off_shoulders"
fate/grand_order,3,235398,fgo
blue_archive,3,235091,
kimono,0,234544,
nail_polish,0,234258,"colored_nails,nailpolish,nail_varnish,painted_nails"
tears,0,233018,tear
open_jacket,0,232201,"open_blazer,open_track_jacket"
star_(symbol),0,231757,
two-tone_hair,0,231707,"/tth,two-tone-hair,two_tone_hair"
striped_clothes,0,231333,striped_clothing
orange_hair,0,231207,
english_text,0,230816,english
black_dress,0,229224,
from_behind,0,228169,viewed_from_behind
grin,0,227532,grinning
idolmaster,3,225865,"idol_master,idolm@ster,the_idolmaster"
rabbit_ears,0,225115,"bunny_ear,bunny_ears,rabbit_ear"
black_eyes,0,224323,dark_eyes
black_jacket,0,224188,black_blazer
blurry,0,222880,blurred
bag,0,222587,bags
sweatdrop,0,221625,"sweat_drop,sweat_drops,sweatdrops"
water,0,220041,
coat,0,217474,
from_side,0,217329,"side,side_view,viewed_from_side"
genshin_impact,3,212871,genshin
yuri,0,212635,"girl_love,girl's_love,girls_love,lesbian,shoujo-ai"
hololive,3,210876,
cape,0,209993,
vest,0,209901,
white_thighhighs,0,209741,
armor,0,205749,armour
scarf,0,205399,muffler
clothes_lift,0,205392,
red_bow,0,204840,
huge_breasts,0,204140,"/hb,huge_boobs,huge_breast,huge_tits"
black_shirt,0,203708,black_blouse
arm_up,0,203579,"arm_raised,one_arm_up,raised_arm"
apron,0,203209,
leotard,0,201591,
character_name,0,198645,
bra,0,198514,
feet,0,197386,foot
mosaic_censoring,0,196810,"mosaic_censor,pixel_censor,rough_censoring"
high_heels,0,194989,"heels,highheels"
sweater,0,193168,sweatshirt
vaginal,0,192181,"vaginal_penetration,vaginal_sex"
blue_sky,0,191143,
animal_ear_fluff,0,189768,
crop_top,0,189643,
bracelet,0,189554,"bracelets,wristlet"
black_pantyhose,0,187746,
parted_bangs,0,187051,
collar,0,185964,
arms_up,0,184589,"arms_above,arms_above_head,arms_raised,hands_above_head,raised_arms"
:o,0,184494,:0
white_panties,0,184323,
dated,0,182673,
completely_nude,0,178333,completely_naked
cup,0,177170,"cups,drinking_cup"
red_ribbon,0,176895,
grey_eyes,0,176894,"gray_eyes,silver_eyes"
twin_braids,0,176809,"double_braid,twin_braid,twinbraid,twinbraids"
hands_up,0,175841,hands_raised
dark-skinned_female,0,174257,dark_skinned_female
fingernails,0,174182,"fingernail,finger_nails"
commission,5,174032,
looking_to_the_side,0,173989,"looking_aside,looking_to_side"
side_ponytail,0,173561,"side_tail,sidetail"
aqua_eyes,0,173446,"cyan_eyes,teal_eyes,turquoise_eyes"
puffy_short_sleeves,0,172823,short_puffy_sleeves
flat_chest,0,171789,"flatchest,flat_chested,pettanko,titty_buds,tsurupeta"
blue_skirt,0,171125,
v-shaped_eyebrows,0,170623,
two_side_up,0,169564,two_sides_up
neckerchief,0,167671,
orange_eyes,0,167194,
eyelashes,0,165431,eye_lashes
tree,0,164787,trees
symbol-shaped_pupils,0,160900,symbol_shaped_pupils
sleeves_past_wrists,0,158255,sleeves_past_wrist
multiple_views,0,158138,
covered_nipples,0,157790,"covered_erect_nipples,erect_nipple,erect_nipplees,erect_nipples,erect_nipples_under_clothes,errect_nipples,perky_nipples"
chinese_commentary,5,154829,
vocaloid,3,154568,"/vo,vocaloid_2,vocaloid_3"
cat_tail,0,153682,cat_tails
fur_trim,0,153544,fur_lining
mole_under_eye,0,153223,
strapless,0,152271,
clothing_cutout,0,152089,
see-through_clothes,0,150975,"see-through,seethrough,sheer_clothes,sheer_clothing,transparent_clothing"
hand_on_own_hip,0,150525,"hand_on_hip,hand_on_waist"
legs,0,150149,leg
toes,0,148871,
wrist_cuffs,0,148637,"detached_cuffs,wrist_cuff,wristcuff,wristcuffs"
sketch,0,148533,"rough,rough_sketch,/sk"
feet_out_of_frame,0,147756,
bar_censor,0,146821,"censor_bar,censor_bars"
sleeveless_shirt,0,146750,sleeveless_blouse
black_choker,0,146714,
upper_teeth_only,0,146679,upper_teeth
sleeveless_dress,0,146418,
wet,0,146237,"soaked,wet_body,wet_skin"
groin,0,145327,"adonis_belt,hip_lines,mound_of_venus"
maid,0,144680,"maid_costume,maid_dress,maid_outfit,maids,maid_uniform"
loli,0,144181,"lolicon,rori"
sparkle,0,144120,"sparkles,sparkling"
no_humans,0,143890,no_human
fake_animal_ears,0,143440,
v,0,143257,"peace_sign,v_sign"
gun,0,141465,"firearm,guns"
torn_clothes,0,141265,"ripped_clothes,ripped_clothing,tornclothes,torn_clothing"
pillow,0,141129,"black_pillow,blue_pillow,green_pillow,grey_pillow,orange_pillow,pillows,pink_pillow,purple_pillow,red_pillow,white_pillow,yellow_pillow"
pokemon_(creature),0,141085,
maid_headdress,0,140976,"maid_cachusha,maid_headband"
fox_ears,0,140946,"/fox,kitsunemimi"
